Infinitive,Präsens_ich,Präsens_du,"Präsens_er, sie, es",Präteritum_ich,Partizip II,Konjunktiv II_ich,Imperativ Singular,Imperativ Plural,Hilfsverb
lieben,liebe,liebst,liebt,liebte,geliebt,liebte,liebe,liebt,haben
klieben,kliebe,kliebst,kliebt,klob,gekloben,klöbe,kliebe,kliebt,haben
belfern,belfere,belferst,belfert,belferte,gebelfert,belferte,belfere,belfert,haben
chatten,chatte,chattest,chattet,chattete,gechattet,chattete,chatte,chattet,haben
wissen,weiß,weißt,weiß,wusste,gewusst,wüsste,wisse,wisset,haben
schnabulieren,schnabuliere,schnabulierst,schnabuliert,schnabulierte,schnabuliert,schnabulierte,schnabulier,schnabuliert,haben
brechen,breche,brichst,bricht,brach,gebrochen,bräche,brich,brecht,haben
abbrechen,breche ab,brichst ab,bricht ab,brach ab,abgebrochen,bräche ab,brich ab,brecht ab,haben
anbrechen,breche an,brichst an,bricht an,brach an,angebrochen,bräche an,brich an,brecht an,haben
aufbrechen,breche auf,brichst auf,bricht auf,brach auf,aufgebrochen,bräche auf,brich auf,brecht auf,sein
ausbrechen,breche aus,brichst aus,bricht aus,brach aus,ausgebrochen,bräche aus,brich aus,brecht aus,haben
einbrechen,breche ein,brichst ein,bricht ein,brach ein,eingebrochen,bräche ein,brich ein,brecht ein,sein
verbrechen,verbreche,verbrichst,verbricht,verbrach,verbrochen,verbräche,verbrich,verbrecht,haben
zerbrechen,zerbreche,zerbrichst,zerbricht,zerbrach,zerbrochen,zerbräche,zerbrich,zerbrecht,haben
büffeln,büffele,büffelst,büffelt,büffelte,gebüffelt,büffelte,büffele,büffelt,haben
oktroyieren,oktroyiere,oktroyierst,oktroyiert,oktroyierte,oktroyiert,oktroyierte,oktroyier,oktroyiert,haben
winken,winke,winkst,winkt,winkte,gewinkt,winkte,winke,winkt,haben
machen,mache,machst,macht,machte,gemacht,machte,mache,macht,haben
schmeißen,schmeiße,schmeißt,schmeißt,schmiss,geschmissen,schmisse,schmeiß,schmeißt,haben
besinnen,besinne,besinnst,besinnt,besann,besonnen,besänne,besinn,besinnt,haben
untersuchen,untersuche,untersuchst,untersucht,untersuchte,untersucht,untersuchte,untersuche,untersucht,haben
kaufen,kaufe,kaufst,kauft,kaufte,gekauft,kaufte,kauf,kauft,haben
wohnen,wohne,wohnst,wohnt,wohnte,gewohnt,wohnte,wohne,wohnt,haben
sehen,sehe,siehst,sieht,sah,gesehen,sähe,siehe,seht,haben
aalen,aale,aalst,aalt,aalte,geaalt,aalte,aal,aalt,haben
essen,esse,isst,isst,aß,gegessen,äße,iss,esst,haben
trinken,trinke,trinkst,trinkt,trank,getrunken,tränke,trink,trinkt,haben
gehen,gehe,gehst,geht,ging,gegangen,ginge,geh,geht,sein
wandeln,wandle,wandelst,wandelt,wandelte,gewandelt,wandelte,wandle,wandelt,sein
lecken,lecke,leckst,leckt,leckte,geleckt,leckte,lecke,leckt,haben
ficken,ficke,fickst,fickt,fickte,gefickt,fickte,ficke,fickt,haben
intendieren,intendiere,intendierst,intendiert,intendierte,intendiert,intendierte,intendiere,intendiert,haben
kochen,koche,kochst,kocht,kochte,gekocht,kochte,koch,kocht,haben
kiffen,kiffe,kiffst,kifft,kiffte,gekifft,kiffte,kiffe,kifft,haben
sprechen,spreche,sprichst,spricht,sprach,gesprochen,spräche,sprich,sprecht,haben
delegieren,delegiere,delegierst,delegiert,delegierte,delegiert,delegierte,delegiere,delegiert,haben
akzeptieren,akzeptiere,akzeptierst,akzeptiert,akzeptierte,akzeptiert,akzeptierte,akzeptier,akzeptiert,haben
stipulieren,stipuliere,stipulierst,stipuliert,stipulierte,stipuliert,stipulierte,stipuliere,stipuliert,haben
liegen,liege,liegst,liegt,lag,gelegen,läge,lieg,liegt,haben
ausscheiden,scheide aus,scheidest aus,scheidet aus,schied aus,ausgeschieden,schiede aus,scheide aus,scheidet aus,haben
zocken,zocke,zockst,zockt,zockte,gezockt,zockte,zocke,zockt,haben
googeln,googel,googelst,googelt,googelte,gegoogelt,googelte,googele,googelt,haben
abbaumen,baume ab,baumst ab,baumt ab,baumte ab,abgebaumt,baumte ab,baum ab,baumt ab,haben
abschmieren,schmiere ab,schmierst ab,schmiert ab,schmierte ab,abgeschmiert,schmierte ab,schmier ab,schmiert ab,sein
ignorieren,ignoriere,ignorierst,ignoriert,ignorierte,ignoriert,ignorierte,ignoriere,ignoriert,haben
sparen,spare,sparst,spart,sparte,gespart,sparte,spare,spart,haben
fliegen,fliege,fliegst,fliegt,flog,geflogen,flöge,flieg,fliegt,sein
delektieren,delektiere,delektierst,delektiert,delektierte,delektiert,delektierte,delektier,delektiert,haben
schweigen,schweige,schweigst,schweigt,schwieg,geschwiegen,schwiege,schweige,schweigt,haben
verstehen,verstehe,verstehst,versteht,verstand,verstanden,verstände,verstehe,versteht,haben
hören,höre,hörst,hört,hörte,gehört,hörte,hör,hört,haben
lesen,lese,liest,liest,las,gelesen,läse,lies,lest,haben
akkumulieren,akkumuliere,akkumulierst,akkumuliert,akkumulierte,akkumuliert,akkumulierte,akkumulier,akkumuliert,haben
marodieren,marodiere,marodierst,marodiert,marodierte,marodiert,marodierte,marodiere,marodiert,haben
schleifen,schleife,schleifst,schleift,schleifte,geschleift,schleifte,schleife,schleift,haben
haben,habe,hast,hat,hatte,gehabt,hätte,habe,habt,haben
können,kann,kannst,kann,konnte,gekonnt,könnte,—,—,haben
rasen,rase,rast,rast,raste,gerast,raste,ras,rast,sein
fernsehen,sehe fern,siehst fern,sieht fern,sah fern,ferngesehen,sähe fern,sieh fern,seht fern,haben
